times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
58.4|1.0|0.0|0.0|-126886.18238795019|-126885.51392792321
58.6|1.0|0.0|0.0|-126852.40312967029|-126851.3436835898
58.8|1.0|0.0|0.0|-127035.12628560663|-127033.75152819266
59.0|1.0|0.0|0.0|-126586.7759440263|-126585.99397191926
59.2|1.0|0.0|0.0|-126792.21948941973|-126791.50057957941
59.4|1.0|0.0|0.0|-126743.97073544523|-126743.39056259162
59.6|1.0|0.0|0.0|-126398.19608170894|-126397.81770810876
59.8|1.0|0.0|0.0|-126502.59606657835|-126502.11679335147
60.0|1.0|0.0|0.0|-126496.31562924689|-126493.78052612572
60.2|1.0|0.0|0.0|-126605.96829857801|-126605.4511879911
60.4|1.0|0.0|0.0|-126402.32165312297|-126402.20814104292
60.6|1.0|0.0|0.0|-126734.71202489165|-126734.16968939806
60.8|1.0|0.0|0.0|-126692.94934766777|-126691.62504006717
61.0|1.0|0.0|0.0|-126700.46636985795|-126700.08799625777
61.2|1.0|0.0|0.0|-126696.65514369533|-126696.44073198856
61.4|1.0|0.0|0.0|-126739.7718629261|-126739.36826441924
61.6|1.0|0.0|0.0|-126548.55053364209|-126548.43702156203
61.8|1.0|0.0|0.0|-126713.02578714496|-126712.01679087782
62.0|1.0|0.0|0.0|-126634.34825423066|-126633.75546892371
62.2|1.0|0.0|0.0|-126613.35768706074|-126612.57571495371
62.4|1.0|0.0|0.0|-126726.20168537954|-126725.94943631276
62.6|1.0|0.0|0.0|-126808.90909860865|-126808.40460047509
62.8|1.0|0.0|0.0|-126721.2742254128|-126719.62199402538
63.0|1.0|0.0|0.0|-126703.78385351939|-126703.2415180258
63.2|1.0|0.0|0.0|-126912.12051663874|-126911.55295623848
63.4|1.0|0.0|0.0|-127016.30729524807|-127014.97037519411
63.6|1.0|0.0|0.0|-126604.91429222965|-126604.53591862947
63.8|1.0|0.0|0.0|-127102.66255016043|-127102.01931504012
64.0|1.0|0.0|0.0|-126836.77132254677|-126836.39294894661
64.2|1.0|0.0|0.0|-126716.9277909176|-126716.77644147752
64.4|1.0|0.0|0.0|-126400.00661754223|-126399.47689450198
64.6|1.0|0.0|0.0|-126722.97847115826|-126722.62532246477
64.8|1.0|0.0|0.0|-126697.61778631993|-126696.96193874629
65.0|1.0|0.0|0.0|-126321.64055227801|-126320.80813035762
65.2|1.0|0.0|0.0|-126326.37816707378|-126325.93673120691
65.4|1.0|0.0|0.0|-126708.00274103618|-126707.15770666246
65.6|1.0|0.0|0.0|-126387.00417205678|-126386.07085050967
65.8|1.0|0.0|0.0|-126510.68188950108|-126509.97559211409
66.0|1.0|0.0|0.0|-126319.23599401282|-126317.62159998542
66.2|1.0|0.0|0.0|-126425.27029150187|-126423.26491142095
66.4|1.0|0.0|0.0|-126452.21049183444|-126451.83211823425
66.6|1.0|0.0|0.0|-126504.28081752518|-126503.62496995155
66.8|1.0|0.0|0.0|-126548.84261581684|-126548.08586861649
67.0|1.0|0.0|0.0|-126330.88402458502|-126329.54710453106
67.2|1.0|0.0|0.0|-126259.44708887172|-126259.05610281821
67.4|1.0|0.0|0.0|-126121.13011647924|-126120.22201983881
67.6|1.0|0.0|0.0|-126309.67368144711|-126308.36198629983
67.8|1.0|0.0|0.0|-126586.15127109598|-126585.87379712252
68.0|1.0|0.0|0.0|-126356.32333259053|-126356.02063371039
68.2|1.0|0.0|0.0|-126367.66884214549|-126366.4202092649
68.4|1.0|0.0|0.0|-126256.88614329173|-126255.7762473979
68.6|1.0|0.0|0.0|-126216.09570103507|-126215.4903032748
68.8|1.0|0.0|0.0|-126144.96416428681|-126144.15696727308
69.0|1.0|0.0|0.0|-126390.99724457297|-126390.25310982596
69.2|1.0|0.0|0.0|-126547.37985916794|-126547.1780599145
69.4|1.0|0.0|0.0|-126638.76969606386|-126638.32826019698
69.6|1.0|0.0|0.0|-126733.51605971105|-126732.68363779066
69.8|1.0|0.0|0.0|-126767.74661276888|-126767.02770292856
70.0|1.0|0.0|0.0|-126688.9309338474|-126688.52733534055
70.2|1.0|0.0|0.0|-126445.22690994825|-126444.6341246413
70.4|1.0|0.0|0.0|-126546.92863922249|-126546.34846636889
70.6|1.0|0.0|0.0|-126421.68697756412|-126420.37528241685
70.8|1.0|0.0|0.0|-126423.2701179676|-126421.70617375353
71.0|1.0|0.0|0.0|-126592.85872942717|-126592.26594412024
71.2|1.0|0.0|0.0|-126603.05624764484|-126601.946351751
71.4|1.0|0.0|0.0|-126454.14058154242|-126452.56402487501
71.6|1.0|0.0|0.0|-126758.09756806858|-126757.46694540161
71.8|1.0|0.0|0.0|-126609.55407954367|-126608.57030818322
72.0|1.0|0.0|0.0|-126809.44638562886|-126808.34910218834
72.2|1.0|0.0|0.0|-126744.26522677182|-126743.7481161849
72.4|1.0|0.0|0.0|-126636.80747094435|-126636.58044678424
72.6|1.0|0.0|0.0|-126544.75512740713|-126544.42720362032
72.8|1.0|0.0|0.0|-126607.74171938315|-126607.22460879624
73.0|1.0|0.0|0.0|-126575.10922492947|-126574.01194148896
73.2|1.0|0.0|0.0|-126546.44111848946|-126545.64653392907
73.4|1.0|0.0|0.0|-126588.70515636171|-126587.64571028123
73.6|1.0|0.0|0.0|-126441.44461206856|-126440.63741505485
73.8|1.0|0.0|0.0|-126903.04982401586|-126902.0029903887
74.0|1.0|0.0|0.0|-126778.40413602193|-126777.82396316832
74.2|1.0|0.0|0.0|-127113.91430336042|-127112.55215839979
74.4|1.0|0.0|0.0|-126955.86685625906|-126955.38758303218
74.6|1.0|0.0|0.0|-126969.91087793077|-126969.19196809044
74.8|1.0|0.0|0.0|-126900.90264651149|-126900.07022459111
75.0|1.0|0.0|0.0|-127107.77210618125|-127105.23700306006
75.2|1.0|0.0|0.0|-126525.84714004498|-126524.3462580976
75.4|1.0|0.0|0.0|-126769.72538134066|-126768.32539902002
75.6|1.0|0.0|0.0|-126941.63483573847|-126940.70151419136
